"player","yrs_in_school","school","conf","g","comp","att","pct","yds","yds_per_att","td","int","adj_yds_per_att","rate","rush_att","rush_yds","rush_avg","rush_td","major_conf"
"Brad Smith",4,"Missouri","Big 12",47,818,1454,0.56258597,8644,5.944979367,56,32,5.724896836,114.5045392,779,4193,5.4,44,"1"
"Brad Tayles",4,"Western Michigan","MAC",44,663,1370,0.483941606,8717,6.362773723,49,67,4.877372263,103.8633577,305,354,1.2,13,"0"
"Brad Taylor",4,"Arkansas","SWC",44,333,644,0.517080745,4802,7.456521739,23,32,5.934782609,116.1906832,329,343,1,12,"0"
"Brad Wright",4,"New Mexico","WAC",47,237,464,0.510775862,3364,7.25,20,28,5.396551724,114.1327586,305,679,2.2,19,"0"
"Bradlee Van Pelt",3,"Colorado State","MWC",38,424,778,0.544987147,6165,7.924164524,37,30,7.140102828,129.0437018,420,2274,5.4,25,"0"
"Brady Quinn",4,"Notre Dame","Ind",49,929,1602,0.579900125,11762,7.342072409,95,39,7.43258427,134.3637953,254,182,0.7,6,"1"
"Brandon Allen",4,"Arkansas","SEC",42,583,1016,0.573818898,7463,7.345472441,64,26,7.453740157,134.7531496,134,136,1,4,"1"
"Brandon Barker",3,"Northern Illinois","Ind",32,129,256,0.50390625,1563,6.10546875,4,11,4.484375,98.2390625,97,-68,-0.7,2,"0"
"Brandon Bridge",2,"South Alabama","Sun Belt",20,189,373,0.506702413,2325,6.233243968,16,10,5.884718499,111.8230563,138,467,3.4,5,"0"
"Brandon Cox",4,"Auburn","SEC",44,550,927,0.593311758,6959,7.507011866,42,32,6.859762675,130.4375405,151,-416,-2.8,4,"1"
"Brandon Dawkins",3,"Arizona","Pac-12",22,188,334,0.562874251,2418,7.239520958,15,12,6.520958084,124.7341317,232,1582,6.8,20,"1"
"Brandon Doman",4,"Brigham Young","MWC",32,313,504,0.621031746,4354,8.638888889,35,14,8.777777778,152.0309524,184,673,3.7,11,"0"
"Brandon Doughty",5,"Western Kentucky","CUSA",43,1023,1491,0.6861167,12855,8.621730382,111,34,9.084507042,161.0409121,102,-285,-2.8,3,"0"
"Brandon Hance",4,"USC","Pac-10",21,146,277,0.527075812,1619,5.844765343,9,10,4.870036101,105.3054152,121,275,2.3,4,"1"
"Brandon Hassell",2,"Texas Christian","CUSA",20,259,457,0.566739606,3763,8.234135667,20,11,8.026258206,135.468709,183,475,2.6,9,"0"
"Brandon Silvers",4,"Troy","Sun Belt",48,968,1503,0.644045243,10677,7.103792415,71,29,7.180306055,135.8062542,237,415,1.8,16,"0"
